machine_id,time,degra_level_observed,region,route,speed,load,brake_temperature,vibration_level,rul,segment_id
1,0,0,1,1,33.75225598,0.718433838,0,0.047835328,88,1
1,1,0.04207868,1,0,90.88474345,0.637161407,3.031550052,0,87,1
1,2,0,1,1,29.91599421,0.539072974,0,0.142555479,86,1
1,3,0,1,1,33.88895968,0.630980436,0,0,85,1
1,4,0,1,1,32.33754671,0.53844812,7.716751568,0.059370785,84,1
1,5,0.007096182,1,1,25.205587,0.712222397,2.880612397,0.043890977,83,1
1,6,0.013584177,1,1,29.07568818,0.556284412,0,0,82,1
1,7,0.158648154,1,1,29.22735259,0.581544584,3.536116812,0.419781799,81,1
1,8,0.528194458,1,0,103.7261643,0.660921773,0.91687574,0.135311773,80,1
1,9,0.523882518,1,0,103.015747,0.838542126,0,0.127453969,79,1
1,10,0.602570602,1,1,27.43878635,0.543000094,0,0.031836526,78,1
1,11,0.771019746,1,1,35.64486146,0.612982621,3.378333601,0.145836037,77,1
1,12,0.796978014,1,1,25.87759392,0.689436645,0,0.176634158,76,1
1,13,0.860692888,1,1,32.71577134,0.557826396,0,0.136906667,75,1
1,14,0.74166303,1,1,30.58342905,0.646246226,3.655227003,0.131490777,74,1
1,15,1.233591905,1,1,31.11797774,0.692268723,0,0,73,1
1,16,0.718665649,1,0,102.0238358,0.687506189,0,0.169615891,72,1
1,17,0.672095777,1,1,28.40164392,0.577340101,0,0,71,1
1,18,0.863825211,1,1,28.62428874,0.773871498,2.329659205,0.187875696,70,1
1,19,1.14475781,1,1,34.84139177,0.456090389,1.677575428,0,69,1
1,20,1.04000303,1,1,30.81376533,0.6829996,4.972218844,0,68,1
1,21,0.902343703,1,1,33.96673618,0.589504859,0.325478025,0.091060735,67,1
1,22,0.940069165,1,1,34.28987941,0.605246934,0,0.233873389,66,1
1,23,1.64605631,1,1,24.33356393,0.532432138,0,0,65,1
1,24,1.499951457,1,0,100.9969802,0.693425902,0.700557597,0.068557379,64,1
1,25,1.5659039,1,1,30.79269846,0.686936406,1.421582859,0.119209854,63,1
1,26,1.652317366,1,1,32.28387619,0.558184772,0.363274644,0.184316434,62,1
